Row_Num,ID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
167,152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False
168,153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False
169,154,Meganium,Grass,,525,80,82,100,83,100,80,2,False
170,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False
171,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False
172,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False
173,158,Totodile,Water,,314,50,65,64,44,48,43,2,False
174,159,Croconaw,Water,,405,65,80,80,59,63,58,2,False
175,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False
176,161,Sentret,Normal,,215,35,46,34,35,45,20,2,False
177,162,Furret,Normal,,415,85,76,64,45,55,90,2,False
178,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
179,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
180,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
181,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
182,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False
183,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
184,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
185,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
186,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
187,172,Pichu,Electric,,205,20,40,15,35,35,60,2,False
188,173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False
189,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
190,175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False
191,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
192,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
193,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
194,179,Mareep,Electric,,280,55,40,40,65,45,35,2,False
195,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False
196,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False
197,181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
198,182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False
199,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False
200,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
201,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
202,186,Politoed,Water,,500,90,75,75,90,100,70,2,False
203,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
204,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
205,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
206,190,Aipom,Normal,,360,55,70,55,40,55,85,2,False
207,191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False
208,192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False
209,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
210,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
211,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
212,196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False
213,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False
214,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
215,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
216,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False
217,201,Unown,Psychic,,336,48,72,48,72,48,48,2,False
218,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
219,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
220,204,Pineco,Bug,,290,50,65,90,35,35,15,2,False
221,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
222,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False
223,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
224,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
225,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
226,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False
227,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False
228,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
229,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
230,212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
231,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
232,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
233,214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
234,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
235,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
236,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False
237,218,Slugma,Fire,,250,40,40,40,70,40,20,2,False
238,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
239,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
240,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
241,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
242,223,Remoraid,Water,,300,35,65,35,65,35,65,2,False
243,224,Octillery,Water,,480,75,105,75,105,75,45,2,False
244,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
245,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
246,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
247,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False
248,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
249,229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
250,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False
251,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False
252,232,Donphan,Ground,,500,90,120,120,60,60,50,2,False
253,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
254,234,Stantler,Normal,,465,73,95,62,85,65,85,2,False
255,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False
256,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False
257,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
258,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
