Row_Num,ID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
554,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True
555,495,Snivy,Grass,,308,45,45,55,45,55,63,5,False
556,496,Servine,Grass,,413,60,60,75,60,75,83,5,False
557,497,Serperior,Grass,,528,75,75,95,75,95,113,5,False
558,498,Tepig,Fire,,308,65,63,45,45,45,45,5,False
559,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False
560,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False
561,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False
562,502,Dewott,Water,,413,75,75,60,83,60,60,5,False
563,503,Samurott,Water,,528,95,100,85,108,70,70,5,False
564,504,Patrat,Normal,,255,45,55,39,35,39,42,5,False
565,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False
566,506,Lillipup,Normal,,275,45,60,45,25,45,55,5,False
567,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False
568,508,Stoutland,Normal,,500,85,110,90,45,90,80,5,False
569,509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False
570,510,Liepard,Dark,,446,64,88,50,88,50,106,5,False
571,511,Pansage,Grass,,316,50,53,48,53,48,64,5,False
572,512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
573,513,Pansear,Fire,,316,50,53,48,53,48,64,5,False
574,514,Simisear,Fire,,498,75,98,63,98,63,101,5,False
575,515,Panpour,Water,,316,50,53,48,53,48,64,5,False
576,516,Simipour,Water,,498,75,98,63,98,63,101,5,False
577,517,Munna,Psychic,,292,76,25,45,67,55,24,5,False
578,518,Musharna,Psychic,,487,116,55,85,107,95,29,5,False
579,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False
580,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False
581,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
582,522,Blitzle,Electric,,295,45,60,32,50,32,76,5,False
583,523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
584,524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,False
585,525,Boldore,Rock,,390,70,105,105,50,40,20,5,False
586,526,Gigalith,Rock,,515,85,135,130,60,80,25,5,False
587,527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False
588,528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False
589,529,Drilbur,Ground,,328,60,85,40,30,45,68,5,False
590,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False
591,531,Audino,Normal,,445,103,60,86,60,86,50,5,False
592,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
593,532,Timburr,Fighting,,305,75,80,55,25,35,35,5,False
594,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
595,534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,False
596,535,Tympole,Water,,294,50,50,40,50,40,64,5,False
597,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False
598,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
599,538,Throh,Fighting,,465,120,100,85,30,85,45,5,False
600,539,Sawk,Fighting,,465,75,125,75,30,75,85,5,False
601,540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,False
602,541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False
603,542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False
604,543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,False
605,544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,False
606,545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False
607,546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,False
608,547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False
609,548,Petilil,Grass,,280,45,35,50,70,50,30,5,False
610,549,Lilligant,Grass,,480,70,60,75,110,75,90,5,False
611,550,Basculin,Water,,460,70,92,65,80,55,98,5,False
612,551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,False
613,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
614,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False
615,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
616,555,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,False
617,555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False
618,556,Maractus,Grass,,461,75,86,67,106,67,60,5,False
619,557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False
620,558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,False
621,559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,False
622,560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,False
623,561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
624,562,Yamask,Ghost,,303,38,30,85,55,65,30,5,False
625,563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
626,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False
627,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
628,566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,False
629,567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
630,568,Trubbish,Poison,,329,50,50,62,40,62,65,5,False
631,569,Garbodor,Poison,,474,80,95,82,60,82,75,5,False
632,570,Zorua,Dark,,330,40,65,40,80,40,65,5,False
633,571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
634,572,Minccino,Normal,,300,55,50,40,40,40,75,5,False
635,573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False
636,574,Gothita,Psychic,,290,45,30,50,55,65,45,5,False
637,575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
638,576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,False
639,577,Solosis,Psychic,,290,45,30,40,105,50,20,5,False
640,578,Duosion,Psychic,,370,65,40,50,125,60,30,5,False
641,579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
642,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False
643,581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
644,582,Vanillite,Ice,,305,36,50,50,65,60,44,5,False
645,583,Vanillish,Ice,,395,51,65,65,80,75,59,5,False
646,584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,False
647,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
648,586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False
649,587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
650,588,Karrablast,Bug,,315,50,75,45,40,45,60,5,False
